box_id,year,month,sst_mean_monthly
-39_146,2004,11,14.703407093330666
-39_146,2004,12,16.35111070790171
-39_146,2005,1,18.047634035882982
-39_146,2005,2,18.419642486269513
-39_146,2005,3,17.948279165452526
-39_146,2005,4,17.463555166456434
-39_146,2005,5,16.277562319164208
-39_146,2005,6,14.91318484765512
-39_146,2005,7,13.909784614398916
-39_146,2005,8,13.034981775454723
-39_146,2005,9,13.114295970069037
-39_146,2005,10,14.233906482710205
-39_146,2005,11,16.21833294409293
-39_146,2005,12,16.644909992012927
-39_146,2006,1,18.27114659654624
-39_146,2006,2,19.10047574270339
-39_146,2006,3,19.141289851144222
-39_146,2006,4,16.864407051934137
-39_146,2006,5,14.995053393866426
-39_146,2006,6,14.090481164720323
-39_146,2006,7,13.044014041996343
-39_146,2006,8,12.376307976288608
-39_146,2006,9,12.747407122011538
-39_146,2006,10,13.606236269824393
-39_146,2006,11,14.569258930065013
-39_146,2006,12,15.881003243094277
-39_146,2007,1,17.405626830234322
-39_146,2007,2,19.302618662516277
-39_146,2007,3,18.596128600472618
-39_146,2007,4,17.454777435020166
-39_146,2007,5,16.20820758163288
-39_146,2007,6,14.672147789707891
-39_146,2007,7,13.562544491128682
-39_146,2007,8,12.910501500611664
-39_146,2007,9,13.205110807772035
-39_146,2007,10,13.630250582131007
-39_146,2007,11,15.599777430075186
-39_146,2007,12,17.641648371159818
-39_146,2008,1,19.188207448597023
-39_146,2008,2,18.723792788626135
-39_146,2008,3,18.516594596233848
-39_146,2008,4,16.8958514602096
-39_146,2008,5,15.517634046547728
-39_146,2008,6,14.466629282633463
-39_146,2008,7,13.234372463704865
-39_146,2008,8,12.673870667761799
-39_146,2008,9,13.113666368413854
-39_146,2008,10,13.827598270976843
-39_146,2008,11,14.805666312464961
-39_146,2008,12,16.065017590813312
-39_146,2009,1,18.202723585149293
-39_146,2009,2,18.527618604993062
-39_146,2009,3,17.723476334711982
-39_146,2009,4,17.155777351944536
-39_146,2009,5,15.439031925679963
-39_146,2009,6,14.354999697649921
-39_146,2009,7,13.90655879222364
-39_146,2009,8,13.391755934684507
-39_146,2009,9,13.694925622586851
-39_146,2009,10,14.020859913159443
-39_146,2009,11,16.241962542357268
-39_146,2009,12,17.732221876848556
-39_146,2010,1,18.879569433068717
-39_146,2010,2,19.918809126293848
-39_146,2010,3,19.421648319476823
-39_146,2010,4,17.749999675044307
-39_146,2010,5,16.38756233816933
-39_146,2010,6,14.922036700778538
-39_146,2010,7,13.68075239188355
-39_146,2010,8,12.926307968768596
-39_146,2010,9,12.627592288123237
-39_146,2010,10,13.772580304026176
-39_146,2010,11,15.278036703886809
-39_146,2010,12,16.801899318626706
